timestamp,temperature,humidity,pressure,device_id
2024-01-01 00:00:00,22.5,45.2,1013.2,DEV001
2024-01-01 01:00:00,22.1,46.8,1013.5,DEV001
2024-01-01 02:00:00,21.8,48.1,1013.8,DEV001
2024-01-01 03:00:00,21.2,49.5,1014.0,DEV001
2024-01-01 04:00:00,20.8,51.2,1014.2,DEV001
2024-01-01 05:00:00,20.5,52.8,1014.5,DEV001
2024-01-01 06:00:00,20.9,51.5,1014.3,DEV001
2024-01-01 07:00:00,21.8,49.2,1014.0,DEV001
2024-01-01 08:00:00,23.2,46.5,1013.6,DEV001
2024-01-01 09:00:00,24.8,43.2,1013.2,DEV001
2024-01-01 10:00:00,26.1,40.8,1012.8,DEV001
2024-01-01 11:00:00,27.5,38.5,1012.5,DEV001
2024-01-01 12:00:00,28.2,36.8,1012.2,DEV001
2024-01-01 13:00:00,28.8,35.5,1012.0,DEV001
2024-01-01 14:00:00,29.1,34.8,1011.8,DEV001
2024-01-01 15:00:00,28.5,35.2,1012.0,DEV001
2024-01-01 16:00:00,27.2,37.5,1012.3,DEV001
2024-01-01 17:00:00,25.8,40.2,1012.8,DEV001
2024-01-01 18:00:00,24.5,42.8,1013.2,DEV001
2024-01-01 19:00:00,23.5,44.5,1013.5,DEV001
2024-01-01 20:00:00,22.8,46.2,1013.8,DEV001
2024-01-01 21:00:00,22.2,47.5,1014.0,DEV001
2024-01-01 22:00:00,21.8,48.8,1014.2,DEV001
2024-01-01 23:00:00,21.5,49.5,1014.3,DEV001
2024-01-02 00:00:00,21.2,50.2,1014.5,DEV001
2024-01-02 01:00:00,20.8,51.5,1014.8,DEV001
2024-01-02 02:00:00,20.5,52.2,1015.0,DEV001
2024-01-02 03:00:00,20.2,53.5,1015.2,DEV001
2024-01-02 04:00:00,19.8,54.8,1015.5,DEV001
2024-01-02 05:00:00,19.5,55.5,1015.8,DEV001
